tiles	Or1	Or2	Or3	Type	AudioName	Upper	Type2	AudioName2	Type3	AudioName3	Placeholder	Placeholder	Placeholder	FirstAppearsInStage...	FirstAppearsInStage...(Type2)	FirstAppearsInStage...(Type3)
a	e	o	ar	V	zz_a	A	none	X	none	X	0	0	0	-	-	-
ar	a	er	or	V	zz_ar	Ar	none	X	none	X	0	0	0	-	-	-
aw	ay	a	o	V	zz_aw	Aw	none	X	none	X	0	0	0	-	-	-
ay	aw	a	oy	V	zz_ay	Ay	none	X	none	X	0	0	0	-	-	-
b	d	p	m	C	zz_b	B	none	X	none	X	0	0	0	-	-	-
c	g	ch	s	C	zz_c	C	none	X	none	X	0	0	0	-	-	-
ch	ck	c	s	C	zz_ch	Ch	none	X	none	X	0	0	0	-	-	-
ck	g	ch	s	C	zz_ck	Ck	none	X	none	X	0	0	0	-	-	-
d	p	b	t	C	zz_d	D	none	X	none	X	0	0	0	-	-	-
e	ee	i	a	V	zz_e	E	none	X	none	X	0	0	0	-	-	-
ee	e	er	i	V	zz_ee	Ee	none	X	none	X	0	0	0	-	-	-
er	ir	ur	e	V	zz_er	Er	none	X	none	X	0	0	0	-	-	-
f	v	s	t	C	zz_f	F	none	X	none	X	0	0	0	-	-	-
g	k	j	x	C	zz_g	G	none	X	none	X	0	0	0	-	-	-
h	j	f	x	C	zz_h	H	none	X	none	X	0	0	0	-	-	-
i	j	e	ir	V	zz_i	I	none	X	none	X	0	0	0	-	-	-
ir	er	ur	i	V	zz_ir	Ir	none	X	none	X	0	0	0	-	-	-
j	h	i	x	C	zz_j	J	none	X	none	X	0	0	0	-	-	-
k	g	x	qu	C	zz_k	K	none	X	none	X	0	0	0	-	-	-
l	r	w	n	C	zz_l	L	none	X	none	X	0	0	0	-	-	-
m	n	nk	w	C	zz_m	M	none	X	none	X	0	0	0	-	-	-
n	m	nk	u	C	zz_n	N	none	X	none	X	0	0	0	-	-	-
nk	n	k	g	C	zz_nk	Nk	none	X	none	X	0	0	0	-	-	-
o	or	e	a	V	zz_o	O	none	X	none	X	0	0	0	-	-	-
or	ur	o	ar	V	zz_or	Or	none	X	none	X	0	0	0	-	-	-
oy	ay	y	ur	V	zz_oy	Oy	none	X	none	X	0	0	0	-	-	-
p	b	d	qu	C	zz_p	P	none	X	none	X	0	0	0	-	-	-
qu	k	b	d	C	zz_qu	Qu	none	X	none	X	0	0	0	-	-	-
r	l	ir	f	C	zz_r	R	none	X	none	X	0	0	0	-	-	-
s	f	v	z	C	zz_s	S	none	X	none	X	0	0	0	-	-	-
sh	s	f	v	C	zz_sh	Sh	none	X	none	X	0	0	0	-	-	-
t	d	f	n	C	zz_t	T	none	X	none	X	0	0	0	-	-	-
u	o	ur	qu	V	zz_u	U	none	X	none	X	0	0	0	-	-	-
ur	ir	er	u	V	zz_ur	Ur	none	X	none	X	0	0	0	-	-	-
v	f	s	w	C	zz_v	V	none	X	none	X	0	0	0	-	-	-
w	v	m	aw	C	zz_w	W	none	X	none	X	0	0	0	-	-	-
x	k	s	g	C	zz_x	X	none	X	none	X	0	0	0	-	-	-
y	w	i	u	C	zz_y	Y	none	X	none	X	0	0	0	-	-	-
z	s	v	f	C	zz_z	Z	none	X	none	X	0	0	0	-	-	-
