Syllable	Or1	Or2	Or3	SyllableAudioName	Duration	Color
a	á	áꞌ	a̱	zs_a	1999	0
á	a̱ꞌ	a	a̱	zs_a1	1999	1
áꞌ	á	a̱ꞌ	a̱	zs_a13	1999	2
a̱	a	áꞌ	a̱ꞌ	zs_a2	1999	3
a̱ꞌ	a	áꞌ	a̱	zs_a23	1999	4
an	a	un	daan	zs_an	1999	9
bá	bu̱	bu̱nꞌ	du̱u̱n	zs_ba1	1999	0
bu̱	bu̱nꞌ	bá	dú	zs_bu2	1999	1
bu̱nꞌ	du̱u̱n	daan	un	zs_bu2n3	1999	2
chá	cháꞌ	ché	chí	zs_cha1	1999	3
cháꞌ	chá	ché	chí	zs_cha13	1999	4
ché	chá	cháꞌ	chí	zs_che1	1999	9
chí	chá	cháꞌ	ché	zs_chi1	1999	0
da	da̱ꞌ	daan	di	zs_da	1999	1
da̱ꞌ	da	daan	di	zs_da23	1999	2
daan	da	da̱ꞌ	díin	zs_daan	1999	3
di	da	dí	di̱	zs_di	1999	4
dí	di	di̱	dú	zs_di1	1999	9
di̱	da̱ꞌ	da	dú	zs_di2	1999	0
díin	duun	dúun	du̱u̱n	zs_di1in	1999	1
dooꞌ	duu	dú	gu̱	zs_doo3	1999	2
dú	duu	dí	di̱	zs_du1	1999	3
duu	duun	dúun	du̱u̱n	zs_duu	1999	4
duun	duu	dúun	du̱u̱n	zs_duun	1999	9
dúun	duun	du̱u̱n	díin	zs_du1un	1999	0
du̱u̱n	duun	dúun	díin	zs_du2u2n	1999	1
dxá	dxáꞌ	ga̱a̱ꞌ	da̱ꞌ	zs_dxa1	1999	2
dxáꞌ	dxá	ga̱a̱ꞌ	da̱ꞌ	zs_dxa13	1999	3
e	eꞌ	e̱	a	zs_e	1999	4
eꞌ	e	e̱	a	zs_e3	1999	9
e̱	e	eꞌ	a	zs_e2	1999	0
frí	chí	gi	jiaꞌ	zs_fri1	1999	1
ga	gá	ga̱a̱ꞌ	ga̱	zs_ga	1999	2
gá	ga	ga̱	ga̱a̱ꞌ	zs_ga1	1999	3
ga̱	ga	gá	ga̱a̱ꞌ	zs_ga2	1999	4
ga̱a̱ꞌ	ga	gá	ga̱	zs_ga2a23	1999	9
gi	gi̱	gi̱ꞌ	gu	zs_gi	1999	0
gi̱	gi	gi̱ꞌ	gu	zs_gi2	1999	1
gi̱ꞌ	gi	gi̱	guꞌ	zs_gi23	1999	2
gu	guꞌ	gú	gu̱	zs_gu	1999	3
guꞌ	gu	gú	gu̱	zs_gu3	1999	4
gú	gu	guꞌ	gu̱	zs_gu1	1999	9
gu̱	gu	guꞌ	gú	zs_gu2	1999	0
gua	gu	gu̱nꞌ	gu̱	zs_gua	1999	1
gu̱nꞌ	ji̱n	juan	gua	zs_gu2n3	1999	2
i	í	íꞌ	i̱	zs_i	1999	3
í	i	íꞌ	i̱	zs_i1	1999	4
íꞌ	i	í	i̱	zs_i13	1999	9
i̱	i	í	íꞌ	zs_i2	1999	0
ja	jiaꞌ	jma̱	jmu̱ꞌ	zs_ja	1999	1
jiaꞌ	ja	jin	ji̱n	zs_jia3	1999	2
jin	jiaꞌ	ji̱n	jní	zs_jin	1999	3
ji̱n	jiaꞌ	jin	jní	zs_ji2n	1999	4
jka	jka̱	jka̱ꞌ	jkáa	zs_jka	1999	9
jka̱	jka	jka̱ꞌ	jkáa	zs_jka2	1999	0
jka̱ꞌ	jka	jka̱	jkáa	zs_jka23	1999	1
jkáa	jka	jka̱	jka̱ꞌ	zs_jka1a	1999	2
jku̱	jka̱	jmu̱ꞌ	jkuáan	zs_jku2	1999	3
jkuáan	jku̱	jma̱	jkáa	zs_jkua1an	1999	4
jma̱	jmbaaꞌ	jmbáa	jmu̱ꞌ	zs_jma2	1999	9
jmbaaꞌ	jma̱	jmbáa	jmbu	zs_jmbaa3	1999	0
jmbáa	jmbaaꞌ	jmbu	jmu̱ꞌ	zs_jmba1a	1999	1
jmbu	jmu̱ꞌ	jmuu	jmúú	zs_jmbu	1999	2
jmu̱ꞌ	jmbu	jmuu	jmúú	zs_jmu23	1999	3
jmuu	jmu̱ꞌ	jmúú	jndu	zs_jmuu	1999	4
jmúú	jmuu	jmbu	jmu̱ꞌ	zs_jmu1u1	1999	9
jna	jnda̱ꞌ	jndu	jní	zs_jna	1999	0
jnda̱ꞌ	jna	jndu	jní	zs_jnda23	1999	1
jndu	jnda̱ꞌ	jní	jnóo	zs_jndu	1999	2
