Spanish	Meꞌphaa	Placeholder	MixedTypes	Placeholder	FirstAppearsInStage(IFOverrulingDefault)...
culebra	a̱.bu̱nꞌ	1474	X	0.91	-
marrano	a̱.ga	938	-	1	-
fuego	a.guꞌ	762	-	1	-
sol	a̱.jka̱ꞌ	775	-	1	-
num004	a̱.jku̱	977	-	1	-
hormiga	a.jkuáan	1153	X	0.75	-
num002	a̱.jma̱	1435	-	1	-
musica	a.jmúú	1205	-	0.84	-
num003	a.jtsú	1096	-	1	-
embarazada	a̱.khi̱i̱	1372	-	0.84	-
adobe	áꞌ.khu̱	1201	-	0.91	-
padre	a.na̱	996	C	1	-
elote	a̱.nu̱ꞌ	823	C	1	-
venado	a̱.ŋa̱ꞌ	1801	-	1	-
cuello	a.phu	1169	-	1	-
su_estomago	a.úun	1096	X	1	-
precio_medida	a.wan	1413	X	1	-
ajo	á.xú	933	-	1	-
mujer	a̱ꞌ.gu̱	1474	-	1	-
abeja	a̱ꞌ.ma	1147	-	1	-
iguana	a̱ꞌ.u̱u̱n	1907	X	0.84	-
cuchara	chá.lá	969	-	0.93	-
oreja	cháꞌ.un	981	X	0.87	-
guajolote	ché.jmbáa	954	-	0.56	-
machete	chí.dí	994	-	0.93	-
lagartija	chí.jndu	1293	-	0.76	-
cuchillo	chí.lú	1015	-	0.95	-
olla	daan	1180	X	1	-
chile	duun	1049	X	1	-
nube	du̱u̱n	1255	X	0.98	-
zopilote	dxáꞌ.an	918	X	0.89	-
muchacho	dxá.ma	1284	-	0.87	-
muchacha	dxáꞌ.gú	1324	-	0.79	-
zorro	e.gi̱	926	-	1	-
pez	e̱.gi̱ꞌ	912	-	1	-
tuza	e̱.jŋgi̱i̱ꞌ	1138	-	0.75	-
campamocha	e̱.tsu̱u̱nꞌ	984	X	0.67	-
canasta	e.xtuꞌ	1594	-	1	-
mosquito	e̱.xu̱ꞌ	1377	-	1	-
sangre	eꞌ.di	967	-	1	-
puesto_vert_uno	frí.gu	760	-	1	-
armadillo	ga̱a̱ꞌ	1166	-	1	-
mapache	ga̱.yú	1220	-	0.98	-
luna	gu̱nꞌ	989	X	1	-
humo	gú.ní	1141	C	1	-
palma	i.da	1125	-	1	-
su_ojo	i.duu	999	-	1	-
sal	i.dú	861	-	1	-
jicama	í.ga	1144	-	1	-
ninyos	i̱.ji̱n	834	X	1	-
hoja	i.ná	753	C	1	-
