tiles	Or1	Or2	Or3	Type	AudioName	Upper	Type2	AudioName2	Type3	AudioName3	Placeholder	Placeholder	Placeholder	FirstAppearsInStage...	FirstAppearsInStage...(Type2)	FirstAppearsInStage...(Type3)
醫生 	護士 	打針 	醫治	X	zz_doctor	醫生 	none	X	none	X	0	0	0	1		-
護士 	醫治	醫院 	診所	X	zz_nurse	護士 	none	X	none	X	0	0	0	1	-	-
檢查 	醫院 	診所	打針 	X	zz_bodycheck	檢查 	none	X	none	X	0	0	0	1	-	-
病假	診所	醫治	醫院 	X	zz_sick_leave	病假	none	X	none	X	0	0	0	1	-	-
打針 	診所	護士 	醫生 	X	zz_injection	打針 	none	X	none	X	0	0	0	1	-	-
食藥 	打針 	病假	醫治	X	zz_take_medicine	食藥 	none	X	none	X	0	0	0	1	-	-
醫院 	診所	醫治	打針 	X	zz_hospital	醫院 	none	X	none	X	0	0	0	1	-	-
診所	醫治	診所	醫生 	X	zz_clinic	診所	none	X	none	X	0	0	0	1	-	-
醫治	手術	打針 	護士 	X	zz_healing	醫治	none	X	none	X	0	0	0	1	-	-
手術	打針 	病假	醫治	X	operation	手術	none	X	none	X	0	0	0	1	-	-
學校	老師	校長	學生	X	zz_school	學校	none	X	none	X	0	0	0	-	2	-
校長	學生	課堂	功課	X	zz_principal	校長	none	X	none	X	0	0	0	-	2	-
課堂	校長	家長	畢業	X	zz_in_class	課堂	none	X	none	X	0	0	0	-	2	-
老師	畢業	老師	學校	X	zz_teacher	老師	none	X	none	X	0	0	0	-	2	-
家長	畢業	功課	課堂	X	zz_parents	家長	none	X	none	X	0	0	0	-	2	-
學生	畢業	老師	校長	X	zz_student	學生	none	X	none	X	0	0	0	-	2	-
功課	學校	畢業	畢業	X	zz_homework	功課	none	X	none	X	0	0	0	-	2	-
畢業	家長	課堂	功課	X	zz_graduation	畢業	none	X	none	X	0	0	0	-	2	-
成績	校長	畢業	功課	X	zz_school_report	成績	none	X	none	X	0	0	0	-	2	-
考試	學校	老師	校長	X	exam	考試	none	X	none	X	0	0	0	-	2	-
爺爺	女	爸爸	姐姐	X	zz_grandpa1	爺爺	none	X	none	X	0	0	0	-	2	-
公公	姐姐	仔	嫲嫲	X	zz_grandpa2	公公	none	X	none	X	0	0	0	-	2	-
嫲嫲	爺爺	妹妹	丈夫	X	zz_grandma1	嫲嫲	none	X	none	X	0	0	0	-	2	-
婆婆	仔	爸爸	哥哥	X	zz_grandma2	婆婆	none	X	none	X	0	0	0	-	2	-
爸爸	妹妹	太太	公公	X	zz_father	爸爸	none	X	none	X	0	0	0	-	2	-
媽媽	太太	爺爺	細佬	X	zz_mother	媽媽	none	X	none	X	0	0	0	-	2	-
仔	姐姐	媽媽	嫲嫲	X	son	仔	none	X	none	X	0	0	0	-	2	-
女	公公	細佬	丈夫	X	zz_daughter	女	none	X	none	X	0	0	0	-	2	-
哥哥	太太	妹妹	爺爺	X	zz_elder_brother	哥哥	none	X	none	X	0	0	0	-	2	-
細佬	丈夫	媽媽	仔	X	zz_younger_brother	細佬	none	X	none	X	0	0	0	-	2	-
姐姐	嫲嫲	哥哥	細佬	X	zz_elder_sisiter	姐姐	none	X	none	X	0	0	0	-	2	-
妹妹	哥哥	爸爸	女	X	zz_younger_sister	妹妹	none	X	none	X	0	0	0	-	2	-
丈夫	媽媽	女	公公	X	zz_husband	丈夫	none	X	none	X	0	0	0	-	2	-
太太	妹妹	爸爸	爺爺	X	zz_wife	太太	none	X	none	X	0	0	0	-	2	-
微笑	傷心	嬲	驚	X	zz_smile	微笑	none	X	none	X	0	0	0	-	-	3
大笑	傷心	嬲	驚	X	zz_laugh	大笑	none	X	none	X	0	0	0	-	-	3
開心	嬲	喊	傷心	X	zz_happy	開心	none	X	none	X	0	0	0	-	-	3
嬲	擔心	微笑	大笑	X	zz_angry	嬲	none	X	none	X	0	0	0	-	-	3
驚	悶	微笑	擔心	X	zz_afraid	驚	none	X	none	X	0	0	0	-	-	3
傷心	開心	喊	緊張	X	zz_sad	傷心	none	X	none	X	0	0	0	-	-	3
擔心	開心	大笑	悶	X	zz_worry	擔心	none	X	none	X	0	0	0	-	-	3
緊張	開心	喊	大笑	X	excited	緊張	none	X	none	X	0	0	0	-	-	3
悶	驚	大笑	開心	X	zz_bored	悶	none	X	none	X	0	0	0	-	-	3
喊	緊張	微笑	擔心	X	zz_cry	喊	none	X	none	X	0	0	0	-	-	3
前面	左	轉右	上面	X	zz_front	前面	none	X	none	X	0	0	0	-	-	3
後面	右	下面	前面	X	back	後面	none	X	none	X	0	0	0	-	-	3
上面	左	前面	轉左	X	zz_above	上面	none	X	none	X	0	0	0	-	-	3
下面	後面	轉左	左	X	zz_below	下面	none	X	none	X	0	0	0	-	-	3
轉右	左	轉右	上面	X	zz_turn_right	轉右	none	X	none	X	0	0	0	-	-	3
左	下面	前面	直行	X	zz_left	左	none	X	none	X	0	0	0	-	-	3
右	後面	直行	掉頭	X	zz_right	右	none	X	none	X	0	0	0	-	-	3
轉左	直行	右	上面	X	zz_turn_left	轉左	none	X	none	X	0	0	0	-	-	3
直行	後面	掉頭	轉左	X	zz_go_straight	直行	none	X	none	X	0	0	0	-	-	3
掉頭	轉右	前面	下面	X	zz_turn_back	掉頭	none	X	none	X	0	0	0	-	-	3
雞肉	牛肉	燒鴨	羊肉	X	zz_chicken	雞肉	none	X	none	X	0	0	0	-	-	3
燒鴨	魚	雞肉	燒鵝	X	zz_roasted_duck	燒鴨	none	X	none	X	0	0	0	-	-	3
燒鵝	蝦	豬肉	燒鴨	X	zz_roasted_goose	燒鵝	none	X	none	X	0	0	0	-	-	3
豬肉	蟹	海鮮	牛肉	X	zz_pork	豬肉	none	X	none	X	0	0	0	-	-	3
牛肉	魚	雞肉	海鮮	X	beef	牛肉	none	X	none	X	0	0	0	-	-	3
羊肉	蝦	燒鴨	蟹	X	zz_mutton	羊肉	none	X	none	X	0	0	0	-	-	3
魚	牛肉	豬肉	蝦	X	zz_fish	魚	none	X	none	X	0	0	0	-	-	3
蝦	蟹	燒鵝	燒鴨	X	zz_shrimp	蝦	none	X	none	X	0	0	0	-	-	3
蟹	海鮮	雞肉	羊肉	X	zz_crab	蟹	none	X	none	X	0	0	0	-	-	3
海鮮	羊肉	豬肉	魚	X	zz_seafood	海鮮	none	X	none	X	0	0	0	-	-	3
