Syllable	Or1	Or2	Or3	SyllableAudioName	Duration	Color
醫				醫	1408	0
生				生	1020	1
護				護	680	2
士				士	511	3
身				身	684	4
體				體	602	5
檢				檢	617	6
查				查	553	7
病				病	773	8
假				假	435	9
打				打	637	10
針				針	752	11
食				食	837	12
藥				藥	630	0
院				院	316	1
診				診	615	2
所				所	493	3
治				治	994	4
手				手	510	5
術				術	471	6
學				學	894	7
校				校	927	8
長				長	876	9
課				課	1031	10
堂				堂	583	11
老				老	826	12
師				師	609	0
家				家	472	1
功				功	536	2
畢				畢	449	3
業				業	406	4
考				考	629	5
試				試	595	6
成				成	714	7
績				績	385	8
表				表	674	9
爸				爸	396	10
媽				媽	510	11
仔				仔	537	12
女				女	802	0
哥				哥	294	1
細				細	711	2
佬				佬	552	3
姐				姐	411	4
妹				妹	746	5
丈				丈	473	6
夫				夫	315	7
太				太	465	8
微				微	851	9
笑				笑	738	10
大				大	728	11
開				開	674	12
心				心	555	0
嬲				嬲	795	1
驚				驚	819	2
傷				傷	870	3
擔				擔	781	4
緊				緊	337	5
張				張	338	6
悶				悶	984	7
喊				喊	1187	8
前				前	450	9
面				面	407	10
後				後	728	11
上				上	787	12
下				下	778	0
轉				轉	701	1
左				左	941	2
右				右	1016	3
直				直	576	4
行				行	756	5
掉				掉	748	6
頭				頭	727	7
豬				豬	530	8
肉				肉	530	9
牛				牛	573	10
羊				羊	563	11
魚				魚	791	12
蝦				蝦	712	0
蟹				蟹	838	1
海				海	733	2
鮮				鮮	516	3
工				工	553	4
作				作	552	5
放				放	525	6
薪				薪	571	7
水				水	571	8
主				主	450	9
婦				婦	450	10
清				清	406	11
潔				潔	240	12
侍				侍	995	0
應				應	995	1
保				保	580	2
安				安	519	3
員				員	394	4
建				建	582	5
築				築	342	6
人				人	255	7
社				社	929	8
巴				巴	528	9
小				小	619	10
的				的	464	11
港				港	580	12
鐵				鐵	437	0
輕				輕	713	1
電				電	746	2
車				車	747	3
單				單	576	4
輪				輪	338	5
飛				飛	659	6
機				機	516	7
爺				爺	337	8
公				公	379	9
嫲				嫲	605	10
婆				婆	417	11
點				點	615	12
菠				菠	341	0
蘿				蘿	341	1
飽				飽	297	2
奶				奶	590	3
茶				茶	430	4
咖				咖	848	5
啡				啡	767	6
檸				檸	507	7
蛋				蛋	456	8
撻				撻	358	9
甜				甜	258	10
酸				酸	436	11
排				排	297	12
骨				骨	243	0
叉				叉	515	1
燒				燒	982	2
春				春	479	3
卷				卷	454	4
青				青	515	5
豆				豆	385	6
菜				菜	259	7
瓜				瓜	574	8
椰				椰	819	9
花				花	819	10
西				西	489	11
蘭				蘭	490	12
蕃				蕃	746	0
茄				茄	747	1
紅				紅	546	2
蔔				蔔	546	3
薯				薯	634	4
雞				雞	1111	5
鴨				鴨	657	6
鵝				鵝	995	7
